"numCDA","anoInscricao","idNaturezaDivida","codSituacaoCDA","DatSituacao","datCadastramento","codFaseCobranca","ValSaldo"
16030600303000,1976,2,2,2020-12-17 21:22:56.467,1900-01-01 00:00:00.000,2,155575.48
16030606200600,1978,2,3,2002-10-12 00:00:00.000,1900-01-01 00:00:00.000,2,1970.58
16030606351100,1978,2,2,2024-09-10 16:47:01.887,1900-01-01 00:00:00.000,2,1927.24
16060610211100,1979,2,3,2012-01-17 00:00:00.000,1980-01-01 00:00:00.000,2,1416.38
16300100056201,1980,1,2,2016-12-21 15:27:38.120,1981-01-01 00:00:00.000,2,5416.72
16300600166300,1980,2,2,2017-08-24 17:45:26.920,1981-01-01 00:00:00.000,2,1883.34
16300600130500,1980,2,2,2024-09-10 16:47:10.697,1981-01-01 00:00:00.000,2,1290.10
16300600565300,1980,2,2,2016-09-19 12:47:26.187,1981-01-01 00:00:00.000,2,791.48
16310610563501,1981,2,2,2024-09-10 16:47:17.470,1982-01-01 00:00:00.000,2,1909.16
16310610030501,1981,2,2,2024-09-10 16:47:20.230,1982-01-01 00:00:00.000,2,3655.39
16360101552601,1982,1,2,2024-09-10 16:47:22.853,1983-01-01 00:00:00.000,2,20931.43
16360106161201,1982,1,3,2012-08-27 00:00:00.000,1983-01-01 00:00:00.000,2,2159.11
16360105330301,1982,1,2,2024-09-10 16:47:24.327,1983-01-01 00:00:00.000,2,1732.31
16360100660101,1982,1,2,2024-09-10 16:47:24.633,1983-01-01 00:00:00.000,2,5375.62
16360110005301,1982,1,2,2024-09-10 16:47:24.967,1983-01-01 00:00:00.000,2,4988.89
16360603063001,1982,2,2,2024-09-10 16:47:27.813,1983-01-01 00:00:00.000,2,2251.95
16360610611101,1982,2,2,2019-08-01 16:21:35.207,1983-01-01 00:00:00.000,2,1948.10
16360613313501,1982,2,2,2018-12-20 12:16:57.220,1983-01-01 00:00:00.000,2,9.63
16320100001001,1983,1,3,2002-10-12 00:00:00.000,1984-08-01 00:00:00.000,2,1155.72
16320600331001,1983,2,2,2024-09-10 16:47:40.183,1984-08-01 00:00:00.000,2,1308.00
16321023331000,1983,10,2,2024-09-10 16:47:41.460,1983-12-27 00:00:00.000,2,5049.82
16310105152001,1984,1,2,2024-09-10 16:47:46.293,1985-08-01 00:00:00.000,2,3268.04
16310605560300,1984,2,2,2021-04-28 17:15:46.680,1985-08-01 00:00:00.000,2,2018.77
16310610501100,1984,2,3,2002-10-12 00:00:00.000,1985-08-01 00:00:00.000,2,2788.60
16310611066100,1984,2,3,2002-10-12 00:00:00.000,1985-08-01 00:00:00.000,2,6263.99
16350100605601,1985,1,2,2024-09-27 12:55:21.940,1986-07-01 00:00:00.000,1,3650.22
16350105632101,1985,1,3,2013-07-05 11:21:54.857,1986-07-01 00:00:00.000,2,2452.82
16350103013301,1985,1,2,2019-08-13 16:36:15.553,1986-07-01 00:00:00.000,2,575.92
16350100350101,1985,1,13,2020-01-28 21:28:42.957,1986-07-01 00:00:00.000,2,0.05
16350112630601,1985,1,2,2024-09-10 16:48:27.763,1986-07-01 00:00:00.000,2,1182.49
16350112111001,1985,1,2,2019-10-04 17:10:27.620,1986-07-01 00:00:00.000,2,4663.38
16350122123301,1985,1,2,2024-09-10 16:48:31.353,1986-07-01 00:00:00.000,2,843.35
16350123133001,1985,1,2,2022-10-28 10:40:58.247,1986-07-01 00:00:00.000,2,1054.09
16350115010101,1985,1,2,2023-05-25 13:00:06.233,1986-07-01 00:00:00.000,2,1034.76
16350150063601,1985,1,2,2024-09-10 16:48:32.713,1986-07-01 00:00:00.000,2,541.95
16350606010201,1985,2,2,2024-09-10 16:48:34.393,1986-07-01 00:00:00.000,2,1318.63
16350612010501,1985,2,2,2024-09-10 16:48:37.127,1986-07-01 00:00:00.000,2,11773.12
16350666061101,1985,2,2,2024-09-10 16:48:45.340,1986-07-01 00:00:00.000,2,1034.22
16350652166001,1985,2,2,2024-09-10 16:48:48.927,1986-07-01 00:00:00.000,2,616.15
16351010116500,1985,10,2,2019-08-13 12:00:02.220,1985-04-26 00:00:00.000,2,144129.43
16330100666301,1986,1,2,2024-09-10 16:49:09.053,1987-05-30 00:00:00.000,2,998.66
16330101025501,1986,1,13,2018-07-23 09:38:15.380,1987-05-30 00:00:00.000,2,41.00
16330103600101,1986,1,2,2024-09-27 12:55:23.193,1987-05-30 00:00:00.000,1,7841.77
16330106610001,1986,1,3,2002-10-12 00:00:00.000,1987-05-30 00:00:00.000,2,9522.83
16330112010501,1986,1,2,2020-10-23 19:56:33.970,1987-05-30 00:00:00.000,2,2749.38
16330116506601,1986,1,14,2022-03-17 12:28:52.823,1987-05-30 00:00:00.000,1,723.13
16330606563301,1986,2,13,2020-01-02 10:02:35.960,1987-05-30 00:00:00.000,2,147.60
16330602125301,1986,2,2,2017-07-03 18:45:19.127,1987-05-30 00:00:00.000,2,8768.65
16330605113301,1986,2,2,2024-09-10 16:49:18.690,1987-05-30 00:00:00.000,2,448.39
16330600133101,1986,2,2,2024-09-10 16:49:19.093,1987-05-30 00:00:00.000,2,289.70
16330600106601,1986,2,2,2024-09-27 12:12:56.137,1987-05-30 00:00:00.000,1,279.13
16330616006601,1986,2,2,2024-09-10 16:49:22.160,1987-05-30 00:00:00.000,2,257.24
16330616233101,1986,2,2,2024-09-27 12:12:56.237,1987-05-30 00:00:00.000,1,452.82
16330661206601,1986,2,2,2024-09-10 14:56:06.720,1987-05-30 00:00:00.000,2,207.59
16331016315300,1986,10,2,2024-09-10 16:49:28.247,1986-08-26 00:00:00.000,2,645.67
16300110616101,1987,1,2,2024-09-10 16:49:54.660,1988-05-07 00:00:00.000,2,621.96
16300606225601,1987,2,13,2020-01-02 10:07:13.840,1988-05-07 00:00:00.000,2,63.76
16300606032301,1987,2,2,2016-09-28 10:20:21.480,1988-05-07 00:00:00.000,2,8052.10
16330101611501,1988,1,2,2024-09-10 16:50:08.390,1989-06-01 00:00:00.000,2,382.96
16330106261101,1988,1,2,2024-09-10 16:50:09.633,1989-06-01 00:00:00.000,2,8153.91
16330106516001,1988,1,2,2024-09-10 16:50:09.910,1989-06-01 00:00:00.000,2,270.98
16330105610501,1988,1,2,2024-09-10 16:50:12.203,1989-06-01 00:00:00.000,2,654.27
16330100555601,1988,1,2,2024-09-10 16:50:12.797,1989-06-01 00:00:00.000,2,3040.42
